ispb,name,code,fullName
16695922,ID CTVM,439.0,ID CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
16927221,AMAZÔNIA CC LTDA.,313.0,AMAZÔNIA CORRETORA DE CÂMBIO LTDA.
16944141,BROKER BRASIL CC LTDA.,142.0,Broker Brasil Corretora de Câmbio Ltda.
17079937,PINBANK IP,529.0,PINBANK BRASIL INSTITUIÇÃO DE PAGAMENTO S.A.
17184037,BCO MERCANTIL DO BRASIL S.A.,389.0,Banco Mercantil do Brasil S.A.
17298092,BCO ITAÚ BBA S.A.,184.0,Banco Itaú BBA S.A.
17351180,BCO TRIANGULO S.A.,634.0,BANCO TRIANGULO S.A.
17352220,SENSO CCVM S.A.,545.0,SENSO CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A
17453575,ICBC DO BRASIL BM S.A.,132.0,ICBC do Brasil Banco Múltiplo S.A.
17772370,VIPS CC LTDA.,298.0,Vip's Corretora de Câmbio Ltda.
17826860,BMS SCD S.A.,377.0,BMS SOCIEDADE DE CRÉDITO DIRETO S.A.
18188384,CREFAZ SCMEPP LTDA,321.0,CREFAZ SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E A EMPRESA DE PEQUENO PORTE LT
18236120,NU PAGAMENTOS - IP,260.0,NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
18394228,CDC SCD S.A.,470.0,CDC SOCIEDADE DE CRÉDITO DIRETO S.A.
18520834,UBS BRASIL BI S.A.,129.0,UBS Brasil Banco de Investimento S.A.
19307785,BRAZA BANK S.A. BCO DE CÂMBIO,128.0,BRAZA BANK S.A. BANCO DE CÂMBIO
19324634,LAMARA SCD S.A.,416.0,LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.
19540550,ASAAS IP S.A.,461.0,ASAAS GESTÃO FINANCEIRA INSTITUIÇÃO DE PAGAMENTO S.A.
20155248,PARMETAL DTVM LTDA,194.0,PARMETAL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
20855875,NEON PAGAMENTOS S.A. IP,536.0,NEON PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO
21018182,EBANX IP LTDA.,383.0,EBANX INSTITUICAO DE PAGAMENTOS LTDA.
21332862,CARTOS SCD S.A.,324.0,CARTOS SOCIEDADE DE CRÉDITO DIRETO S.A.
22610500,VORTX DTVM LTDA.,310.0,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.
22896431,PICPAY,380.0,PICPAY INSTITUIçãO DE PAGAMENTO S.A.
23862762,WILL FINANCEIRA S.A.CFI,280.0,"WILL FINANCEIRA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
24074692,GUITTA CC LTDA,146.0,GUITTA CORRETORA DE CAMBIO LTDA.
24537861,FFA SCMEPP LTDA.,343.0,FFA SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.
26563270,COOP DE PRIMAVERA DO LESTE,279.0,PRIMACREDI COOPERATIVA DE CRÉDITO DE PRIMAVERA DO LESTE
27098060,BANCO DIGIO,335.0,Banco Digio S.A.
27214112,AL5 S.A. CFI,349.0,"AL5 S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
27302181,CRED-UFES,427.0,COOPERATIVA DE CREDITO DOS SERVIDORES DA UNIVERSIDADE FEDERAL DO ESPIRITO SANTO
27351731,REALIZE CFI S.A.,374.0,"REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
27652684,GENIAL INVESTIMENTOS CVM S.A.,278.0,Genial Investimentos Corretora de Valores Mobiliários S.A.
27842177,IB CCTVM S.A.,271.0,"IB Corretora de Câmbio, Títulos e Valores Mobiliários S.A."
28127603,BCO BANESTES S.A.,21.0,BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO
28195667,BCO ABC BRASIL S.A.,246.0,Banco ABC Brasil S.A.
28650236,BS2 DTVM S.A.,292.0,BS2 Distribuidora de Títulos e Valores Mobiliários S.A.
28719664,Balcão B3,,Sistema do Balcão B3
29011780,CIP SA C3,,CIP S.A
29030467,SCOTIABANK BRASIL,751.0,Scotiabank Brasil S.A. Banco Múltiplo
29162769,TORO CTVM S.A.,352.0,TORO CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
30306294,BANCO BTG PACTUAL S.A.,208.0,Banco BTG Pactual S.A.
30680829,NU FINANCEIRA S.A. CFI,386.0,"NU FINANCEIRA S.A. - Sociedade de Crédito, Financiamento e Investimento"
30723886,BCO MODAL S.A.,746.0,Banco Modal S.A.
30980539,U4C INSTITUIÇÃO DE PAGAMENTO S.A.,546.0,U4C INSTITUIÇÃO DE PAGAMENTO S.A.
31597552,BCO CLASSICO S.A.,241.0,BANCO CLASSICO S.A.
31749596,IDEAL CTVM S.A.,398.0,IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
31872495,BCO C6 S.A.,336.0,Banco C6 S.A.
31880826,BCO GUANABARA S.A.,612.0,Banco Guanabara S.A.
31895683,BCO INDUSTRIAL DO BRASIL S.A.,604.0,Banco Industrial do Brasil S.A.
32062580,BCO CREDIT SUISSE S.A.,505.0,Banco Credit Suisse (Brasil) S.A.
32402502,QI SCD S.A.,329.0,QI Sociedade de Crédito Direto S.A.
32648370,FAIR CC S.A.,196.0,FAIR CORRETORA DE CAMBIO S.A.
32997490,CREDITAS SCD,342.0,Creditas Sociedade de Crédito Direto S.A.
33042151,BCO LA NACION ARGENTINA,300.0,Banco de la Nacion Argentina
33042953,CITIBANK N.A.,477.0,Citibank N.A.
33132044,BCO CEDULA S.A.,266.0,BANCO CEDULA S.A.
33147315,BCO BRADESCO BERJ S.A.,122.0,Banco Bradesco BERJ S.A.
33172537,BCO J.P. MORGAN S.A.,376.0,BANCO J.P. MORGAN S.A.
33264668,BCO XP S.A.,348.0,Banco XP S.A.
33466988,BCO CAIXA GERAL BRASIL S.A.,473.0,Banco Caixa Geral - Brasil S.A.
33479023,BCO CITIBANK S.A.,745.0,Banco Citibank S.A.
33603457,BCO RODOBENS S.A.,120.0,BANCO RODOBENS S.A.
33644196,BCO FATOR S.A.,265.0,Banco Fator S.A.
33657248,BNDES,7.0,BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL
33775974,ATIVA S.A. INVESTIMENTOS CCTVM,188.0,"ATIVA INVESTIMENTOS S.A. CORRETORA DE TÍTULOS, CÂMBIO E VALORES"
33862244,BGC LIQUIDEZ DTVM LTDA,134.0,BGC LIQUIDEZ DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA
33885724,BANCO ITAÚ CONSIGNADO S.A.,29.0,Banco Itaú Consignado S.A.
33886862,MASTER S/A CCTVM,467.0,"MASTER S/A CORRETORA DE CâMBIO, TíTULOS E VALORES MOBILIáRIOS"
33923798,BANCO MASTER,243.0,BANCO MASTER S/A
34088029,LISTO SCD S.A.,397.0,LISTO SOCIEDADE DE CREDITO DIRETO S.A.
34111187,HAITONG BI DO BRASIL S.A.,78.0,Haitong Banco de Investimento do Brasil S.A.
34265629,INTERCAM CC LTDA,525.0,INTERCAM CORRETORA DE CÂMBIO LTDA.
34335592,ÓTIMO SCD S.A.,355.0,ÓTIMO SOCIEDADE DE CRÉDITO DIRETO S.A.
34711571,VITREO DTVM S.A.,367.0,VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
34829992,REAG DTVM S.A.,528.0,REAG DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
35551187,PLANTAE CFI,445.0,"PLANTAE S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
35977097,UP.P SEP S.A.,373.0,UP.P SOCIEDADE DE EMPRÉSTIMO ENTRE PESSOAS S.A.
36113876,OLIVEIRA TRUST DTVM S.A.,111.0,OLIVEIRA TRUST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIARIOS S.A.
36266751,FINVEST DTVM,512.0,FINVEST DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
36583700,QISTA S.A. CFI,516.0,"QISTA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO"
36586946,BONUSPAGO SCD S.A.,408.0,BONUSPAGO SOCIEDADE DE CRÉDITO DIRETO S.A.
36864992,MAF DTVM SA,484.0,MAF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.
36947229,COBUCCIO S.A. SCFI,402.0,"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"
37229413,SCFI EFÍ S.A.,507.0,"SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO EFÍ S.A."
37241230,SUMUP SCD S.A.,404.0,SUMUP SOCIEDADE DE CRÉDITO DIRETO S.A.
37414009,ZIPDIN SCD S.A.,418.0,ZIPDIN SOLUÇÕES DIGITAIS SOCIEDADE DE CRÉDITO DIRETO S/A
37526080,LEND SCD S.A.,414.0,LEND SOCIEDADE DE CRÉDITO DIRETO S.A.
37555231,DM,449.0,DM SOCIEDADE DE CRÉDITO DIRETO S.A.
37679449,MERCADO CRÉDITO SCFI S.A.,518.0,"MERCADO CRÉDITO SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A."
37715993,ACCREDITO SCD S.A.,406.0,ACCREDITO - SOCIEDADE DE CRÉDITO DIRETO S.A.
37880206,CORA SCD S.A.,403.0,CORA SOCIEDADE DE CRÉDITO DIRETO S.A.
38129006,NUMBRS SCD S.A.,419.0,NUMBRS SOCIEDADE DE CRÉDITO DIRETO S.A.
38224857,DELCRED SCD S.A.,435.0,DELCRED SOCIEDADE DE CRÉDITO DIRETO S.A.
38429045,FÊNIX DTVM LTDA.,455.0,FÊNIX DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.
39343350,CC LAR CREDI,421.0,LAR COOPERATIVA DE CRÉDITO - LAR CREDI
